State,Location,Latitude,Longitude
Andhra Pradesh,Chittoor Latitude and Longitude,13.41667,79.0
Andhra Pradesh,Chodavaram Latitude and Longitude,17.82884,82.93526
Andhra Pradesh,Cuddapah Latitude and Longitude,14.41667,78.75
Andhra Pradesh,Cumbum Latitude and Longitude,15.58171,79.11059
Andhra Pradesh,Darsi Latitude and Longitude,15.76978,79.67939
Andhra Pradesh,Dharmavaram Latitude and Longitude,14.41435,77.72035
Andhra Pradesh,Dhone Latitude and Longitude,15.3952,77.8715
Andhra Pradesh,Diguvametta Latitude and Longitude,15.39507,78.8293
Andhra Pradesh,East Godavari Latitude and Longitude,17.83333,81.83333
Andhra Pradesh,Elamanchili Latitude and Longitude,17.54907,82.85749
Andhra Pradesh,Ellore Latitude and Longitude,16.71311,81.10437
Andhra Pradesh,Emmiganur Latitude and Longitude,15.77203,77.48345
Andhra Pradesh,Erraguntla Latitude and Longitude,14.63853,78.53974
Andhra Pradesh,Etikoppaka Latitude and Longitude,17.5,82.73333
Andhra Pradesh,Gajuwaka Latitude and Longitude,17.7,83.21667
Andhra Pradesh,Ganguvada Latitude and Longitude,18.66667,84.11667
Andhra Pradesh,Gannavaram Latitude and Longitude,16.54092,80.80213
Andhra Pradesh,Giddalur Latitude and Longitude,15.37439,78.92609
Andhra Pradesh,Gokavaram Latitude and Longitude,17.25823,81.84985
Andhra Pradesh,Gorantla Latitude and Longitude,13.98411,77.77224
Andhra Pradesh,"Govindapuram,Chilakaluripet,Guntur Latitude and Longitude",16.15477,80.10279
Andhra Pradesh,Gudivada Latitude and Longitude,16.43547,80.99555
Andhra Pradesh,Gudlavalleru Latitude and Longitude,16.35,81.05
Andhra Pradesh,Gudur Latitude and Longitude,14.15093,79.8521
Andhra Pradesh,Guntakal Junction Latitude and Longitude,15.17112,77.36244
Andhra Pradesh,Guntur Latitude and Longitude,16.29974,80.45729
Andhra Pradesh,Hindupur Latitude and Longitude,13.82807,77.49143
Andhra Pradesh,Ichchapuram Latitude and Longitude,19.11393,84.68721
Andhra Pradesh,Jaggayyapeta Latitude and Longitude,16.8938,80.09807
Andhra Pradesh,Jammalamadugu Latitude and Longitude,14.84677,78.38314
Andhra Pradesh,Kadiri Latitude and Longitude,14.11168,78.15982
Andhra Pradesh,Kaikalur Latitude and Longitude,16.55154,81.214
Andhra Pradesh,Kakinada Latitude and Longitude,16.96036,82.23809
Andhra Pradesh,Kalyandurg Latitude and Longitude,14.54519,77.10552
Andhra Pradesh,Kamalapuram Latitude and Longitude,14.5983,78.66948
Andhra Pradesh,Kandukur Latitude and Longitude,15.21542,79.9039
Andhra Pradesh,Kanigiri Latitude and Longitude,15.40555,79.50694
Andhra Pradesh,Kankipadu Latitude and Longitude,16.4353,80.76715
Andhra Pradesh,Kanuru Latitude and Longitude,16.28584,81.25464
Andhra Pradesh,Kavali Latitude and Longitude,14.9163,79.99449
Andhra Pradesh,Kolanukonda Latitude and Longitude,16.45392,80.61046
Andhra Pradesh,Kondapalle Latitude and Longitude,16.61989,80.54244
Andhra Pradesh,Korukollu Latitude and Longitude,16.5,81.25
Andhra Pradesh,Kosigi Latitude and Longitude,15.8551,77.24463
Andhra Pradesh,Kovvur Latitude and Longitude,17.0162,81.72934
Andhra Pradesh,Krishna Latitude and Longitude,16.66667,81.0
Andhra Pradesh,Kuppam Latitude and Longitude,12.74931,78.34189
Andhra Pradesh,Kurnool Latitude and Longitude,15.58333,78.33333
Andhra Pradesh,Macherla Latitude and Longitude,16.47635,79.43533
Andhra Pradesh,Machilipatnam Latitude and Longitude,16.18747,81.13888
Andhra Pradesh,Madanapalle Latitude and Longitude,13.5503,78.50288
Andhra Pradesh,Madugula Latitude and Longitude,17.91589,82.81578
Andhra Pradesh,Mandapeta Latitude and Longitude,16.86254,81.92921
Andhra Pradesh,Mandasa Latitude and Longitude,18.8683,84.46296
Andhra Pradesh,Mangalagiri Latitude and Longitude,16.43083,80.56815
Andhra Pradesh,Markapur Latitude and Longitude,15.73534,79.26848
Andhra Pradesh,Nagari Latitude and Longitude,13.32139,79.58557
Andhra Pradesh,Nagireddipalli Latitude and Longitude,14.27005,79.10131
Andhra Pradesh,Nandigama Latitude and Longitude,16.7717,80.28596
Andhra Pradesh,Nandikotkur Latitude and Longitude,15.85668,78.26569
Andhra Pradesh,Nandyal Latitude and Longitude,15.47799,78.4836
Andhra Pradesh,Narasannapeta Latitude and Longitude,18.41428,84.04463
Andhra Pradesh,Narasapur Latitude and Longitude,16.43425,81.69845
Andhra Pradesh,Narasaraopet Latitude and Longitude,16.23488,80.04927
Andhra Pradesh,Narasingapuram Latitude and Longitude,13.60759,79.31652
Andhra Pradesh,Narayanavanam Latitude and Longitude,13.42565,79.58881
Andhra Pradesh,Narsipatnam Latitude and Longitude,17.66709,82.61245
Andhra Pradesh,Nayudupet Latitude and Longitude,13.90742,79.89465
Andhra Pradesh,Nellore Latitude and Longitude,14.08333,79.58333
Andhra Pradesh,Nidadavole Latitude and Longitude,16.90572,81.67222
Andhra Pradesh,Nuzvid Latitude and Longitude,16.78854,80.84593
Andhra Pradesh,Ongole Latitude and Longitude,15.50357,80.04454
Andhra Pradesh,Pakala Latitude and Longitude,13.44903,79.11493
Andhra Pradesh,Palakollu Latitude and Longitude,16.5167,81.73
Andhra Pradesh,Palasa Latitude and Longitude,18.77257,84.41012
Andhra Pradesh,Palkonda Latitude and Longitude,18.60374,83.75568
Andhra Pradesh,Pallevada Latitude and Longitude,16.5779,81.29463
Andhra Pradesh,Palmaner Latitude and Longitude,13.2,78.74725
Andhra Pradesh,Parlakimidi Latitude and Longitude,18.78113,84.08836
Andhra Pradesh,Parvatipuram Latitude and Longitude,18.78392,83.42569
Andhra Pradesh,Pavuluru Latitude and Longitude,15.85292,80.16468
Andhra Pradesh,Pedana Latitude and Longitude,16.25582,81.14378
Andhra Pradesh,pedda nakkalapalem Latitude and Longitude,15.8668,80.16202
Andhra Pradesh,Peddapuram Latitude and Longitude,17.07701,82.13836
Andhra Pradesh,Penugonda Latitude and Longitude,16.65363,81.7455
Andhra Pradesh,Penukonda Latitude and Longitude,14.08286,77.59473
Andhra Pradesh,Phirangipuram Latitude and Longitude,16.29078,80.26233
Andhra Pradesh,Pippara Latitude and Longitude,16.71667,81.55
Andhra Pradesh,Pithapuram Latitude and Longitude,17.1168,82.25284
Andhra Pradesh,Polavaram Latitude and Longitude,17.24754,81.64372
Andhra Pradesh,Ponnur Latitude and Longitude,16.07114,80.54944
Andhra Pradesh,Ponnuru Latitude and Longitude,16.06547,80.55203
Andhra Pradesh,Prakasam Latitude and Longitude,15.5,79.5
Andhra Pradesh,Proddatur Latitude and Longitude,14.7502,78.54813
Andhra Pradesh,Pulivendla Latitude and Longitude,14.42139,78.22502
Andhra Pradesh,Punganuru Latitude and Longitude,13.36672,78.57186
Andhra Pradesh,Puttaparthi Latitude and Longitude,14.1652,77.8117
Andhra Pradesh,Puttur Latitude and Longitude,13.44189,79.55314
Andhra Pradesh,Rajahmundry Latitude and Longitude,17.00517,81.77784
Andhra Pradesh,Ramachandrapuram Latitude and Longitude,16.83636,82.02871
Andhra Pradesh,Ramanayyapeta Latitude and Longitude,16.94516,82.2385
Andhra Pradesh,Ramapuram Latitude and Longitude,15.28749,77.86722
Andhra Pradesh,Rampachodavaram Latitude and Longitude,17.44088,81.77558
Andhra Pradesh,Rayachoti Latitude and Longitude,14.05723,78.75056
Andhra Pradesh,Rayadrug Latitude and Longitude,14.69971,76.85241
Andhra Pradesh,Razam Latitude and Longitude,18.44909,83.65957
Andhra Pradesh,Razampeta Latitude and Longitude,14.19544,79.15896
Andhra Pradesh,Razole Latitude and Longitude,16.47608,81.83912
Andhra Pradesh,Renigunta Latitude and Longitude,13.65143,79.51256
Andhra Pradesh,Repalle Latitude and Longitude,16.0184,80.82958
Andhra Pradesh,Salur Latitude and Longitude,18.51716,83.20548
Andhra Pradesh,Samalkot Latitude and Longitude,17.05675,82.17639
Andhra Pradesh,Sattenapalle Latitude and Longitude,16.39381,80.15221
Andhra Pradesh,Singarayakonda Latitude and Longitude,15.23046,80.02794
Andhra Pradesh,Sompeta Latitude and Longitude,18.94419,84.58449
Andhra Pradesh,Srikakulam Latitude and Longitude,18.2989,83.89751
Andhra Pradesh,Srisailain Latitude and Longitude,16.07217,78.86816
Andhra Pradesh,Suluru Latitude and Longitude,13.7,80.01667
Andhra Pradesh,Tadepalle Latitude and Longitude,16.48333,80.6
Andhra Pradesh,Tadepallegudem Latitude and Longitude,16.81467,81.52717
Andhra Pradesh,Tadpatri Latitude and Longitude,14.90832,78.01031
Andhra Pradesh,Tanuku Latitude and Longitude,16.75438,81.68143
Andhra Pradesh,Tekkali Latitude and Longitude,18.6057,84.23546
Andhra Pradesh,Tirumala Latitude and Longitude,13.68333,79.35
Andhra Pradesh,Tirupati Latitude and Longitude,13.63551,79.41989
Andhra Pradesh,Tuni Latitude and Longitude,17.35905,82.54607
Andhra Pradesh,Uravakonda Latitude and Longitude,14.94348,77.25494
Andhra Pradesh,vadlamuru Latitude and Longitude,17.09545,82.16565
Andhra Pradesh,Vadlapudi Latitude and Longitude,14.31119,79.8043
Andhra Pradesh,Venkatagiri Latitude and Longitude,13.96005,79.58032
Andhra Pradesh,Vepagunta Latitude and Longitude,17.77844,83.21577
Andhra Pradesh,Vetapalem Latitude and Longitude,15.78502,80.30663
Andhra Pradesh,Vijayawada Latitude and Longitude,16.50745,80.6466
Andhra Pradesh,Vinukonda Latitude and Longitude,16.0531,79.73964
Andhra Pradesh,Visakhapatnam Latitude and Longitude,17.68009,83.20161
Andhra Pradesh,Vizianagaram Latitude and Longitude,18.11692,83.41148
Andhra Pradesh,Vizianagaram District Latitude and Longitude,18.41102,83.37677
Andhra Pradesh,Vuyyuru Latitude and Longitude,16.36307,80.84406
Andhra Pradesh,West Godavari Latitude and Longitude,17.0,81.16667
Andhra Pradesh,Yanam Latitude and Longitude,16.73308,82.21364
Andhra Pradesh,Yanamalakuduru Latitude and Longitude,16.48531,80.66746
Andhra Pradesh,Yarada Latitude and Longitude,17.65872,83.27419
Arunachal Pradesh,Along Latitude and Longitude,28.16951,94.8006
Arunachal Pradesh,Anjaw Latitude and Longitude,28.06549,96.82878
Arunachal Pradesh,Basar Latitude and Longitude,27.99008,94.69451
Arunachal Pradesh,Bomdila Latitude and Longitude,27.26475,92.42472
Arunachal Pradesh,Changlang Latitude and Longitude,27.36265,96.34518
Arunachal Pradesh,Dibang Valley Latitude and Longitude,28.7,95.7
Arunachal Pradesh,East Kameng Latitude and Longitude,27.3,93.05
Arunachal Pradesh,East Siang Latitude and Longitude,28.12379,95.16339
Arunachal Pradesh,Hayuliang Latitude and Longitude,28.07301,96.54305
Arunachal Pradesh,Itanagar Latitude and Longitude,27.08694,93.60987
Arunachal Pradesh,Khonsa Latitude and Longitude,27.01667,95.56667
Arunachal Pradesh,Kurung Kumey Latitude and Longitude,27.99983,93.3924
Arunachal Pradesh,Lohit District Latitude and Longitude,27.84012,96.19521
Arunachal Pradesh,Lower Dibang Valley Latitude and Longitude,28.37258,95.8804
Arunachal Pradesh,Lower Subansiri Latitude and Longitude,27.62554,93.93908
Arunachal Pradesh,Margherita Latitude and Longitude,27.28482,95.66796
Arunachal Pradesh,Naharlagun Latitude and Longitude,27.10467,93.69518
Arunachal Pradesh,Pasighat Latitude and Longitude,28.06631,95.32678
Arunachal Pradesh,Tawang Latitude and Longitude,27.57417,91.92437
Arunachal Pradesh,Tezu Latitude and Longitude,27.91256,96.12882
Arunachal Pradesh,Tirap Latitude and Longitude,27.01917,95.51788
Arunachal Pradesh,Upper Siang Latitude and Longitude,28.83355,94.91806
Arunachal Pradesh,Upper Subansiri Latitude and Longitude,28.3,94.0
Arunachal Pradesh,West Kameng Latitude and Longitude,27.4,92.35
Arunachal Pradesh,West Siang Latitude and Longitude,28.4,94.55
Arunachal Pradesh,Ziro Latitude and Longitude,27.59497,93.83854
Assam,Abhayapuri Latitude and Longitude,26.32255,90.68526
Assam,Amguri Latitude and Longitude,26.81482,94.52614
Assam,Badarpur Latitude and Longitude,24.86852,92.59606
Assam,Baksa Latitude and Longitude,26.69804,91.15142
Assam,Barpathar Latitude and Longitude,26.28709,93.88844
Assam,Barpeta Latitude and Longitude,26.47104,91.0308
Assam,Barpeta Road Latitude and Longitude,26.50284,90.96937
Assam,Basugaon Latitude and Longitude,26.46742,90.41951
Assam,Bihpuriagaon Latitude and Longitude,27.01718,93.91673
Assam,Bijni Latitude and Longitude,26.49588,90.70298
Assam,Bilasipara Latitude and Longitude,26.23285,90.2341
Assam,Bokajan Latitude and Longitude,26.02131,93.77945
Assam,Bokakhat Latitude and Longitude,26.64018,93.60052
Assam,Bongaigaon Latitude and Longitude,26.4603,90.6464
Assam,Cachar Latitude and Longitude,24.78213,92.85771
Assam,Chabua Latitude and Longitude,27.48253,95.17451
Assam,Chapar Latitude and Longitude,26.27266,90.44556
Assam,Chirang Latitude and Longitude,26.52527,90.49066
Assam,Darrang Latitude and Longitude,26.51195,92.16843
Assam,Dergaon Latitude and Longitude,26.7,93.96667
Assam,Dhekiajuli Latitude and Longitude,26.70367,92.47808
Assam,Dhemaji Latitude and Longitude,27.6091,94.7942
Assam,Dhing Latitude and Longitude,26.46793,92.47336
Assam,Dhubri Latitude and Longitude,26.06749,90.02238
Assam,Dibrugarh Latitude and Longitude,27.5,95.0
Assam,Digboi Latitude and Longitude,27.39321,95.61839
Assam,Dima Hasao District Latitude and Longitude,25.5,93.0
Assam,Diphu Latitude and Longitude,25.84341,93.43116
Assam,Dispur Latitude and Longitude,26.13564,91.80069
Assam,Duliagaon Latitude and Longitude,27.37227,95.30754
Assam,Dum Duma Latitude and Longitude,27.56884,95.55664
Assam,Gauripur Latitude and Longitude,26.08334,89.96118
Assam,Goalpara Latitude and Longitude,26.12791,90.60974
Assam,Gohpur Latitude and Longitude,26.88184,93.6156
Assam,Golaghat Latitude and Longitude,26.4092,93.91193
Assam,Golakganj Latitude and Longitude,26.10216,89.82275
Assam,Goshaingaon Latitude and Longitude,26.43946,89.96307
Assam,Guwahati Latitude and Longitude,26.1844,91.7458
Assam,Haflong Latitude and Longitude,25.16478,93.01744
Assam,Hailakandi Latitude and Longitude,24.5017,92.60069
Assam,Hajo Latitude and Longitude,26.2452,91.52525
Assam,Hojai Latitude and Longitude,26.00281,92.85605
Assam,Howli Latitude and Longitude,26.42237,90.98004
Assam,Jogighopa Latitude and Longitude,26.22646,90.57247
Assam,Jorhat Latitude and Longitude,26.8,94.26
Assam,Kamrup Latitude and Longitude,26.22322,91.65344
Assam,Kamrup Metropolitan Latitude and Longitude,26.05375,92.00763
Assam,Karbi Anglong Latitude and Longitude,26.0,93.5
Assam,Karimganj Latitude and Longitude,24.6,92.4
Assam,Kharupatia Latitude and Longitude,26.51839,92.14722
Assam,Kokrajhar Latitude and Longitude,26.6,90.2
Assam,Lakhimpur Latitude and Longitude,27.35,94.25
Assam,Lakhipur Latitude and Longitude,24.79281,93.0091
Assam,Lala Latitude and Longitude,24.55418,92.61592
Assam,Lumding Railway Colony Latitude and Longitude,25.74903,93.16998
Assam,Mahur Latitude and Longitude,25.18305,93.11342
Assam,Maibong Latitude and Longitude,25.30125,93.13811
Assam,Makum Latitude and Longitude,27.48652,95.43646
Assam,Mangaldai Latitude and Longitude,26.44212,92.03047
Assam,Mariani Latitude and Longitude,26.65725,94.31529
Assam,Moranha Latitude and Longitude,27.18735,94.91557
Assam,Morigaon Latitude and Longitude,26.25213,92.34238
Assam,Nagaon Latitude and Longitude,26.35037,92.69225
Assam,Nahorkatiya Latitude and Longitude,27.28912,95.3418
Assam,Nalbari Latitude and Longitude,26.5,91.4
Assam,Namrup Latitude and Longitude,27.19395,95.31929
Assam,Nazira Latitude and Longitude,26.91649,94.73611
Assam,North Guwahati Latitude and Longitude,26.19749,91.7202
Assam,North Lakhimpur Latitude and Longitude,27.23517,94.10357
Assam,Numaligarh Latitude and Longitude,26.62249,93.72225
Assam,Palasbari Latitude and Longitude,26.12388,91.53974
Assam,Raha Latitude and Longitude,26.23333,92.51667
Assam,Rangapara Latitude and Longitude,26.83772,92.66876
Assam,Rangia Latitude and Longitude,26.44931,91.61356
Assam,Sapatgram Latitude and Longitude,26.33732,90.1236
Assam,Sarupathar Latitude and Longitude,26.206,96.81
Assam,Sibsagar Latitude and Longitude,26.98427,94.63784
Assam,Silapathar Latitude and Longitude,27.59441,94.72402
Assam,Silchar Latitude and Longitude,24.82733,92.79787
Assam,Soalkuchi Latitude and Longitude,26.16806,91.57111
Assam,Sonari Latitude and Longitude,27.02462,95.01629
Assam,Sonitpur Latitude and Longitude,26.76748,92.96425
Assam,Sorbhog Latitude and Longitude,26.48612,90.8859
Assam,Tezpur Latitude and Longitude,26.63333,92.8
Assam,Tinsukia Latitude and Longitude,27.6,95.6
Assam,Titabar Latitude and Longitude,26.6014,94.20386
Assam,Udalguri Latitude and Longitude,26.75367,92.10215
Bihar,Amarpur Latitude and Longitude,25.03967,86.90247
Bihar,Araria Latitude and Longitude,26.2,87.4
Bihar,Arrah Latitude and Longitude,25.55629,84.66335
Bihar,Arwal Latitude and Longitude,25.16158,84.6904
Bihar,Asarganj Latitude and Longitude,25.15046,86.68639
Bihar,Aurangabad Latitude and Longitude,24.75204,84.3742
Bihar,Bagaha Latitude and Longitude,27.09918,84.09003
Bihar,Bahadurganj Latitude and Longitude,26.26172,87.82443
Bihar,Bairagnia Latitude and Longitude,26.74063,85.27323
Bihar,Baisi Latitude and Longitude,25.86302,87.74487
Bihar,Bakhtiyarpur Latitude and Longitude,25.46179,85.53179
Bihar,Bangaon Latitude and Longitude,25.86728,86.51152
Bihar,Banka Latitude and Longitude,24.89214,86.98425
Bihar,Banmankhi Latitude and Longitude,25.88857,87.19421
Bihar,Bar Bigha Latitude and Longitude,25.21855,85.7332
Bihar,Barauli Latitude and Longitude,26.38109,84.58648
Bihar,Barh Latitude and Longitude,25.48339,85.70928
Bihar,Barhiya Latitude and Longitude,25.28814,86.02055
Bihar,Bariarpur Latitude and Longitude,25.28791,86.57643
Bihar,Baruni Latitude and Longitude,25.47509,85.96813
Bihar,Begusarai Latitude and Longitude,25.41853,86.13389
Bihar,Belsand Latitude and Longitude,26.44365,85.40076
Bihar,Bettiah Latitude and Longitude,26.80229,84.50311
Bihar,Bhabhua Latitude and Longitude,25.04049,83.60749
Bihar,Bhagalpur Latitude and Longitude,25.29023,87.06665
Bihar,Bhagirathpur Latitude and Longitude,26.2695,86.06346
Bihar,Bhawanipur Latitude and Longitude,26.45352,87.02744
Bihar,Bhojpur Latitude and Longitude,25.30886,84.44504
Bihar,Bihar Sharif Latitude and Longitude,25.20084,85.52389
Bihar,Bihariganj Latitude and Longitude,25.73415,86.98837
Bihar,Bikramganj Latitude and Longitude,25.21073,84.25508
Bihar,Birpur Latitude and Longitude,26.50823,87.01194
Bihar,Buddh Gaya Latitude and Longitude,24.69808,84.9869
Bihar,Buxar Latitude and Longitude,25.5,84.1
Bihar,Chakia Latitude and Longitude,26.41598,85.04665
Bihar,Chapra Latitude and Longitude,25.78031,84.74709
Bihar,Chhatapur Latitude and Longitude,26.21965,87.00479
Bihar,Colgong Latitude and Longitude,25.26328,87.23264
Bihar,Dalsingh Sarai Latitude and Longitude,25.66795,85.83636
Bihar,Darbhanga Latitude and Longitude,26.0,86.0
Bihar,Daudnagar Latitude and Longitude,25.03473,84.40095
Bihar,Dehri Latitude and Longitude,24.90247,84.18217
Bihar,Dhaka Latitude and Longitude,26.67479,85.16698
Bihar,Dighwara Latitude and Longitude,25.74434,85.01003
Bihar,Dinapore Latitude and Longitude,25.63705,85.04794
Bihar,Dumra Latitude and Longitude,26.56708,85.5204
Bihar,Dumraon Latitude and Longitude,25.55265,84.15149
Bihar,Fatwa Latitude and Longitude,25.50958,85.30504
Bihar,Forbesganj Latitude and Longitude,26.30253,87.26556
Bihar,Gaya Latitude and Longitude,24.79686,85.00385
Bihar,Ghoga Latitude and Longitude,25.21738,87.1571
Bihar,Gopalganj Latitude and Longitude,26.5,84.33333
Bihar,Hajipur Latitude and Longitude,25.68544,85.20981
Bihar,Hilsa Latitude and Longitude,25.31642,85.28234
Bihar,Hisua Latitude and Longitude,24.8336,85.41729
Bihar,Islampur Latitude and Longitude,25.14075,85.20587
Bihar,Jagdispur Latitude and Longitude,25.46811,84.41939
Bihar,Jahanabad Latitude and Longitude,25.21368,84.9871
Bihar,Jamalpur Latitude and Longitude,25.31258,86.48888
Bihar,Jamui Latitude and Longitude,24.92082,86.17538
Bihar,Jaynagar Latitude and Longitude,26.59048,86.13791
Bihar,Jehanabad Latitude and Longitude,25.20701,84.99573
Bihar,Jha-Jha Latitude and Longitude,24.77107,86.37888
Bihar,Jhanjharpur Latitude and Longitude,26.26467,86.27993
Bihar,Jogbani Latitude and Longitude,26.39905,87.26525
Bihar,Kaimur District Latitude and Longitude,25.05077,83.58261
Bihar,Kasba Latitude and Longitude,25.85643,87.53836
Bihar,Katihar Latitude and Longitude,25.5,87.6
Bihar,Khagaria Latitude and Longitude,25.5022,86.46708
Bihar,Khagaul Latitude and Longitude,25.57898,85.04564
Bihar,Kharagpur Latitude and Longitude,25.12446,86.55578
Bihar,Khusropur Latitude and Longitude,25.48174,85.38492
Bihar,Kishanganj Latitude and Longitude,26.3,88.0
Bihar,Koath Latitude and Longitude,25.32643,84.25983
Bihar,Koelwar Latitude and Longitude,25.58055,84.79751
Bihar,Lakhisarai Latitude and Longitude,25.2,86.2
Bihar,Lalganj Latitude and Longitude,25.86894,85.17394
Bihar,Luckeesarai Latitude and Longitude,25.1765,86.0947
Bihar,Madhepura Latitude and Longitude,25.8,87.0
Bihar,Madhipura Latitude and Longitude,25.92127,86.79271
Bihar,Madhubani Latitude and Longitude,26.35367,86.07169
Bihar,Maharajgani Latitude and Longitude,26.11017,84.50365
Bihar,Mairwa Latitude and Longitude,26.23218,84.16349
Bihar,Maner Latitude and Longitude,25.64602,84.87291
Bihar,Manihari Latitude and Longitude,25.33891,87.61998
Bihar,Marhaura Latitude and Longitude,25.97349,84.86796
Bihar,Masaurhi Buzurg Latitude and Longitude,25.35417,85.03195
Bihar,Mohiuddinnagar Latitude and Longitude,25.57374,85.66944
Bihar,Mokameh Latitude and Longitude,25.39662,85.9219
Bihar,Monghyr Latitude and Longitude,25.37459,86.47455
Bihar,Mothihari Latitude and Longitude,26.64862,84.91656
Bihar,Munger Latitude and Longitude,25.36099,86.46515
Bihar,Murliganj Latitude and Longitude,25.8969,86.99577
Bihar,Muzaffarpur Latitude and Longitude,26.16667,85.41667
Bihar,Nabinagar Latitude and Longitude,24.60681,84.12624
Bihar,Nalanda Latitude and Longitude,25.25,85.58333
Bihar,Nasriganj Latitude and Longitude,25.0514,84.32839
Bihar,Naugachhia Latitude and Longitude,25.38807,87.09906
Bihar,Nawada Latitude and Longitude,24.75,85.5
Bihar,Nirmali Latitude and Longitude,26.31397,86.58537
Bihar,Pashchim Champaran Latitude and Longitude,27.0,84.5
Bihar,Patna Latitude and Longitude,25.41667,85.16667
Bihar,Piro Latitude and Longitude,25.33218,84.40454
Bihar,Pupri Latitude and Longitude,26.47079,85.70311
Bihar,Purba Champaran Latitude and Longitude,26.58333,84.83333
Bihar,Purnia Latitude and Longitude,25.81614,87.40708
Bihar,Rafiganj Latitude and Longitude,24.81757,84.63445
Bihar,Raghunathpur Latitude and Longitude,25.64492,87.91762
Bihar,Rajgir Latitude and Longitude,25.02828,85.42079
Bihar,Ramnagar Latitude and Longitude,27.16371,84.32342
Bihar,Raxaul Latitude and Longitude,26.97982,84.85065
Bihar,Revelganj Latitude and Longitude,25.78976,84.63596
Bihar,Rohtas Latitude and Longitude,24.97941,84.02774
Bihar,Rusera Latitude and Longitude,25.75355,86.02597
Bihar,Sagauli Latitude and Longitude,26.7639,84.74341
Bihar,Saharsa Latitude and Longitude,25.87498,86.59611
Bihar,Samastipur Latitude and Longitude,25.75,85.91667
Bihar,Saran Latitude and Longitude,25.91667,84.75
Bihar,Shahbazpur Latitude and Longitude,26.30511,87.28865
Bihar,Shahpur Latitude and Longitude,25.60293,84.40412
Bihar,Sheikhpura Latitude and Longitude,25.13073,85.78176
Bihar,Sheohar Latitude and Longitude,26.5,85.3
Bihar,Sherghati Latitude and Longitude,24.5595,84.79162
Bihar,Silao Latitude and Longitude,25.08358,85.42804
Bihar,Sitamarhi Latitude and Longitude,26.66667,85.5
Bihar,Siwan Latitude and Longitude,26.22096,84.35609
Bihar,Supaul Latitude and Longitude,26.25,86.8
Bihar,Teghra Latitude and Longitude,25.49043,85.94001
Bihar,Tekari Latitude and Longitude,24.94253,84.84265
Bihar,Thakurganj Latitude and Longitude,26.42742,88.13112
Bihar,Vaishali Latitude and Longitude,25.75,85.41667
Bihar,Waris Aliganj Latitude and Longitude,25.0172,85.64047
Chhattisgarh,Akaltara Latitude and Longitude,22.02463,82.42641
Chhattisgarh,Ambagarh Chauki Latitude and Longitude,20.77644,80.74608
Chhattisgarh,Ambikapur Latitude and Longitude,23.11892,83.19537
Chhattisgarh,Arang Latitude and Longitude,21.19639,81.96912
Chhattisgarh,Baikunthpur Latitude and Longitude,23.26206,82.56051
Chhattisgarh,Balod Latitude and Longitude,20.73081,81.20578
Chhattisgarh,Baloda Latitude and Longitude,22.1389,82.48171
Chhattisgarh,Baloda Bazar Latitude and Longitude,21.65678,82.16062
Chhattisgarh,Basna Latitude and Longitude,21.27885,82.8267
Chhattisgarh,Bastar Latitude and Longitude,19.26794,81.73828
